state,state_abb,fips,year,year_frac,law_class,law_class_subtype,handguns_or_long_guns,age_for_minimum_age_laws,length_of_waiting_period_days_handguns,additional_context_and_notes,discrepancies,law_id
Missouri,MO,29,2024,1,background checks,permit to purchase,handgun,NA,NA,NA,NA,MO1002
Missouri,MO,29,2024,1,background checks,private sales : point of sale,handgun,NA,NA,NA,NA,MO1004
Missouri,MO,29,2024,0,carrying a concealed weapon (ccw),prohibited,handgun,NA,NA,NA,NA,MO1007
Missouri,MO,29,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,"Originally codified at 571.094. According to Aneja, Donohue, and Zhang (2014), although the law was intended to take effect in 2003, legal battles prevented this until 24 February 2004.







Aneja, Abhay, John J. Donohue III, and Alexandria Zhang, The Impact of Right to Carry Laws and the NRC Report: Lessons for the Empirical Evaluation of Law and Policy, Stanford, Calif.: Stanford Law School, Olin Working Paper No. 461, December 1, 2014.",NA,MO1008
Missouri,MO,29,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,NA,NA,MO1009
Missouri,MO,29,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,MO1010
Missouri,MO,29,2024,0,castle doctrine,expanded 2,handgun and long gun,NA,NA,Catagorized as expanded 2 because statute does not specify whose vehicle or structure,NA,MO1011
Missouri,MO,29,2024,1,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,NA,NA,NA,NA,MO1013
Missouri,MO,29,2024,0,minimum age,purchase and sale,handgun,21,NA,Permit law.,NA,MO1018
Missouri,MO,29,2024,1,minimum age,purchase and sale,handgun,NA,NA,NA,NA,MO1019
Missouri,MO,29,2024,1,minimum age,purchase and sale,long gun,18,NA,"About sale of handguns only. § 562.016.4. A person ""acts recklessly"" or is reckless when he consciously disregards a substantial and unjustifiable risk that circumstances exist or that a result will follow, and such disregard constitutes a gross deviation from the standard of care which a reasonable person would exercise in the situation.",NA,MO1020
Missouri,MO,29,2024,1,open carry,license required,handgun,NA,NA,NA,NA,MO1022
Missouri,MO,29,2024,0,waiting period,Waiting Periods: De facto (permit required),handgun,NA,10,"de facto (permit required)”: The law does not require that permits are issued with a delay, but in practice they may take weeks to obtain, so we treat this as a de facto waiting period for handguns, and arbitrarily set the length of the waiting period to 10 days.",NA,MO1024
Missouri,MO,29,2024,1,waiting period,Waiting Periods: De facto (permit required),handgun,NA,10,"de facto (permit required)”: The law does not require that permits are issued with a delay, but in practice they may take weeks to obtain, so we treat this as a de facto waiting period for handguns, and arbitrarily set the length of the waiting period to 10 days.",NA,MO1025
Missouri,MO,29,2024,0,registration,required,handgun,NA,NA,"Originally enacted prior to 1949 as Mo. Rev. Stat. § 640.30, then transferred in 1978 to 571.125, which was repealed in 1981. Language of earlier statute was: ""No person‚…shall directly or indirectly buy, sell, borrow, loan, give away, trade, barter deliver or receive, in this state, any pistol, revolver or other firearm of a size which may be concealed upon the person, unless the buyer, borrower or person receiving such weapon shall first obtain and deliver to, and the same be demanded and received by, the seller, loaner, or person delivering such weapon, within thirty days after the issuance thereof, a permit authorizing such person to acquire such weapon.""",NA,MO1026
Missouri,MO,29,2024,0,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,NA,NA,NA,NA,MO1038
Missouri,MO,29,2024,1,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,NA,NA,NA,NA,MO1039
Missouri,MO,29,2024,1,registration,required,handgun,NA,NA,NA,NA,MO1045
Missouri,MO,29,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,MO1046
Missouri,MO,29,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,MO1047
Missouri,MO,29,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,MO1051
Missouri,MO,29,2024,1,firearms in college/university,public and private : CCW not allowed,handgun,NA,NA,Exception for consent of governing bodies.,NA,MO1056
Missouri,MO,29,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,"Exceptions: 3. (1) Except as provided in subdivision (2) of this subsection, nothing contained in this section shall prohibit any ordinance of any political subdivision which conforms exactly with any of the provisions of sections 571.010 to 571.070, with appropriate penalty provisions, or which regulates the open carrying of firearms readily capable of lethal use or the discharge of firearms within a jurisdiction, provided such ordinance complies with the provisions of section 252.243. No ordinance shall be construed to preclude the use of a firearm in the defense of person or property, subject to the provisions of chapter 563.",NA,MO1058
Missouri,MO,29,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,MO1061
Missouri,MO,29,2024,1,firearms in K-12 educational settings,school personnel other than peace officers,handgun and long gun,NA,NA,NA,NA,MO1062
Missouri,MO,29,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,MO1063
Missouri,MO,29,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,MO1065
Missouri,MO,29,2024,1,gun trafficking,straw purchase - buyer liability,handgun and long gun,NA,NA,NA,NA,MO1066
Missouri,MO,29,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,MO1067
Missouri,MO,29,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,MO1068
Missouri,MO,29,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,MO1069
Missouri,MO,29,2024,0,permit to purchase,required,handgun,NA,NA,"Originally enacted prior to 1949 as Mo. Rev. Stat. § 640.30, then transferred in 1978 to 571.125, which was repealed in 1981.",NA,MO1070
Missouri,MO,29,2024,1,permit to purchase,required,handgun,NA,NA,NA,NA,MO1071
Missouri,MO,29,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,MO1072
Mississippi,MS,28,2024,0,carrying a concealed weapon (ccw),prohibited,handgun,NA,NA,NA,NA,MS1003
Mississippi,MS,28,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,MS1004
Mississippi,MS,28,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,"The purse exception was added in 2015; the holster exception in 2016. This is effectively constitutional carry, if carried in the specified ways (e.g., wouldn't allow permitless carry in ankle holster) and not in prohibited locations (see Miss. Code Ann. § 45-9-101(13)).",NA,MS1005
Mississippi,MS,28,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,MS1006
Mississippi,MS,28,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,MS1007
Mississippi,MS,28,2024,1,child access laws,"intentional, reckless, or knowing provision",handgun,NA,NA,NA,NA,MS1009
Mississippi,MS,28,2024,1,minimum age,youth possession,handgun,18,NA,NA,NA,MS1011
Mississippi,MS,28,2024,1,minimum age,purchase and sale,long gun,18,NA,NA,NA,MS1013
Mississippi,MS,28,2024,1,minimum age,purchase and sale,handgun,18,NA,NA,NA,MS1023
Mississippi,MS,28,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,MS1031
Mississippi,MS,28,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,MS1032
Mississippi,MS,28,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,MS1036
Mississippi,MS,28,2024,0,waiting period,federal,handgun,NA,5,"In general, the waiting period applies only in states without an acceptable alternate system of conducting background checks on handgun purchasers. The interim provisions of the Brady Law became effective on February 28, 1994, and ceased to apply on November 30, 1998.",NA,MS1038
Mississippi,MS,28,2024,1,waiting period,federal,handgun,NA,NA,NA,NA,MS1039
Mississippi,MS,28,2024,1,firearms in college/university,public and private : CCW allowed,handgun,NA,NA,Requires an enhanced carry permit.,NA,MS1042
Mississippi,MS,28,2024,1,firearms in college/university,public and private : CCW not allowed,handgun,NA,NA,NA,NA,MS1043
Mississippi,MS,28,2024,1,firearms in college/university,public and private : possession prohibited,handgun,NA,NA,NA,NA,MS1044
Mississippi,MS,28,2024,1,firearms in college/university,public and private : possession prohibited,long gun,NA,NA,NA,NA,MS1045
Mississippi,MS,28,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,"Law effective 7/1/2014 added ""carrying"", and added further sanction: civil liability.

Mississippi Code Annotated section 45-9-53(1)  exceptions:  (1) This section and Section 45-9-51 do not affect the authority that a county or municipality may have under another law:

(a) To require citizens or public employees to be armed for personal or national defense, law enforcement, or another lawful purpose;

(b) To regulate the discharge of firearms within the limits of the county or municipality. A county or municipality may not apply a regulation relating to the discharge of firearms or other weapons in the extraterritorial jurisdiction of the county or municipality or in an area annexed by the county or municipality after September 1, 1981, if the firearm or other weapon is:

(i) A shotgun, air rifle or air pistol, BB gun or bow and arrow discharged:

1. On a tract of land of ten (10) acres or more and more than one hundred fifty (150) feet from a residence or occupied building located on another property; and

2. In a manner not reasonably expected to cause a projectile to cross the boundary of the tract; or

(ii) A center fire or rim fire rifle or pistol or a muzzle-loading rifle or pistol of any caliber discharged:

1. On a tract of land of fifty (50) acres or more and more than three hundred (300) feet from a residence or occupied building located on another property; and

2. In a manner not reasonably expected to cause a projectile to cross the boundary of the tract;

(c) To regulate the use of property or location of businesses for uses therein pursuant to fire code, zoning ordinances, or land-use regulations, so long as such codes, ordinances and regulations are not used to circumvent the intent of Section 45-9-51 or paragraph (e) of this subsection;",NA,MS1047
Mississippi,MS,28,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,MS1050
Mississippi,MS,28,2024,1,firearms in K-12 educational settings,school personnel other than peace officers,handgun and long gun,NA,NA,NA,NA,MS1051
Mississippi,MS,28,2024,1,local laws preempted by state,comprehensive - punitive,handgun and long gun,NA,NA,"Law effective 7/1/2014 added ""carrying"", and added further sanction: civil liability.

Mississippi Code Annotated section 45-9-53(1)  exceptions:  (1) This section and Section 45-9-51 do not affect the authority that a county or municipality may have under another law:

(a) To require citizens or public employees to be armed for personal or national defense, law enforcement, or another lawful purpose;

(b) To regulate the discharge of firearms within the limits of the county or municipality. A county or municipality may not apply a regulation relating to the discharge of firearms or other weapons in the extraterritorial jurisdiction of the county or municipality or in an area annexed by the county or municipality after September 1, 1981, if the firearm or other weapon is:

(i) A shotgun, air rifle or air pistol, BB gun or bow and arrow discharged:

1. On a tract of land of ten (10) acres or more and more than one hundred fifty (150) feet from a residence or occupied building located on another property; and

2. In a manner not reasonably expected to cause a projectile to cross the boundary of the tract; or

(ii) A center fire or rim fire rifle or pistol or a muzzle-loading rifle or pistol of any caliber discharged:

1. On a tract of land of fifty (50) acres or more and more than three hundred (300) feet from a residence or occupied building located on another property; and

2. In a manner not reasonably expected to cause a projectile to cross the boundary of the tract;

(c) To regulate the use of property or location of businesses for uses therein pursuant to fire code, zoning ordinances, or land-use regulations, so long as such codes, ordinances and regulations are not used to circumvent the intent of Section 45-9-51 or paragraph (e) of this subsection;",NA,MS1052
Mississippi,MS,28,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,MS1053
Mississippi,MS,28,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,MS1054
Mississippi,MS,28,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,MS1055
Mississippi,MS,28,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,MS1056
Montana,MT,30,2024,0,carrying a concealed weapon (ccw),may issue,handgun,NA,NA,NA,NA,MT1003
Montana,MT,30,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,MT1004
Montana,MT,30,2024,0,castle doctrine,expanded 2,handgun and long gun,NA,NA,"Categorized as expanded 2 because of the term ""occupied structure"" instead of a more specific owned dwelling",NA,MT1005
Montana,MT,30,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,MT1006
Montana,MT,30,2024,1,minimum age,youth possession,handgun,14,NA,"About carrying and using firearms, not ""possession.""",NA,MT1009
Montana,MT,30,2024,1,prohibited possessor,dvro ex parte : expanded,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to bar the defendant from owning, possessing, or purchasing firearms. The Montana law gives all discretion to the judge and the firearm removed must be the same firearm used in an actual assault. The limitations on partners being of the opposite sex was lifted in 2013.",NA,MT1026
Montana,MT,30,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,MT1033
Montana,MT,30,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,MT1034
Montana,MT,30,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,MT1039
Montana,MT,30,2024,0,waiting period,federal,handgun,NA,5,"In general, the waiting period applies only in states without an acceptable alternate system of conducting background checks on handgun purchasers. The interim provisions of the Brady Law became effective on February 28, 1994, and ceased to apply on November 30, 1998.",NA,MT1040
Montana,MT,30,2024,1,waiting period,federal,handgun,NA,NA,NA,NA,MT1041
Montana,MT,30,2024,1,firearm removal at scene of domestic violence,required,handgun and long gun,NA,NA,NA,NA,MT1042
Montana,MT,30,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,R218,"1991 amendment added ""concealed handgun.""

Exception: (2)(a) For public safety purposes, a city or town may regulate the discharge of rifles, shotguns, and handguns. A county, city, town, consolidated local government, or other local government unit has power to prevent and suppress the carrying of concealed or unconcealed weapons to a public assembly, publicly owned building, park under its jurisdiction, or school, and the possession of firearms by convicted felons, adjudicated mental incompetents, illegal aliens, and minors.",NA,MT1045
Montana,MT,30,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,MT1049
Montana,MT,30,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,MT1050
Montana,MT,30,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,MT1051
Montana,MT,30,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,MT1052
Montana,MT,30,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,NA,NA,MT1053
Montana,MT,30,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,MT1054
North Carolina,NC,37,2024,0,background checks,permit to purchase,handgun,NA,NA,CCW permit is also valid.,NA,NC1001
North Carolina,NC,37,2024,0,background checks,sales from dealer,handgun,NA,NA,NA,NA,NC1003
North Carolina,NC,37,2024,0,carrying a concealed weapon (ccw),prohibited,handgun,NA,NA,NA,NA,NC1005
North Carolina,NC,37,2024,1,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,NC1006
North Carolina,NC,37,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,NC1007
North Carolina,NC,37,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,NC1008
North Carolina,NC,37,2024,1,child access laws,negligent storage,handgun and long gun,NA,NA,NA,NA,NC1010
North Carolina,NC,37,2024,0,dealer license,state license requirement,long gun,NA,NA,NA,NA,NC1011
North Carolina,NC,37,2024,1,dealer license,state license requirement,long gun,NA,NA,NA,NA,NC1012
North Carolina,NC,37,2024,0,permit to purchase,maximum waiting period,handgun,NA,NA,NA,NA,NC1013
North Carolina,NC,37,2024,1,minimum age,youth possession,handgun,18,NA,NA,NA,NC1014
North Carolina,NC,37,2024,1,minimum age,purchase and sale,handgun,18,NA,NA,NA,NC1016
North Carolina,NC,37,2024,0,waiting period,Waiting Periods: De facto (permit required),handgun,NA,10,"de facto (permit required)”: The law does not require that permits are issued with a delay, but in practice they may take weeks to obtain, so we treat this as a de facto waiting period for handguns, and arbitrarily set the length of the waiting period to 10 days.",NA,NC1022
North Carolina,NC,37,2024,0,permit to purchase,maximum waiting period,handgun,NA,NA,NA,NA,NC1024
North Carolina,NC,37,2024,0,dealer license,state license requirement,handgun,NA,NA,NA,NA,NC1028
North Carolina,NC,37,2024,1,dealer license,state license requirement,handgun,NA,NA,NA,NA,NC1029
North Carolina,NC,37,2024,1,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun,NA,NA,(g) An applicant shall not be ineligible to receive a permit under subdivision (c)(4) of this section because of involuntary commitment to mental health services if the individual's rights have been restored under G.S. 14-409.42.,NA,NC1031
North Carolina,NC,37,2024,1,prohibited possessor,mental health : committed to mh facility,handgun,NA,NA,(g) An applicant shall not be ineligible to receive a permit under subdivision (c)(4) of this section because of involuntary commitment to mental health services if the individual's rights have been restored under G.S. 14-409.42.,NA,NC1032
North Carolina,NC,37,2024,1,prohibited possessor,dvro : expanded,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to bar the defendant from owning, possessing, or purchasing firearms. This law includes a firearm surrender requirement. This law excludes same sex couples.",NA,NC1033
North Carolina,NC,37,2024,1,prohibited possessor,dvro ex parte : expanded,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to bar the defendant from owning, possessing, or purchasing firearms. This law includes a firearm surrender requirement. This law excludes same sex couples",NA,NC1034
North Carolina,NC,37,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,NC1041
North Carolina,NC,37,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,NC1042
North Carolina,NC,37,2024,0,background checks,private sales : point of sale,handgun,NA,NA,"NC had the handgun permitting system since 1919, but it was not until this law that it explicitly required a background check to obtain a permit",NA,NC1046
North Carolina,NC,37,2024,1,firearms in college/university,public and private : CCW not allowed,handgun,NA,NA,"Exception for employees - may keep at residence or locked vehicle, everyone else - vehicles.
Carrying in general not allowed, and no special exemption allowed for CCW permit holders.",NA,NC1048
North Carolina,NC,37,2024,1,firearms in college/university,public and private : possession prohibited,handgun,NA,NA,NA,NA,NC1049
North Carolina,NC,37,2024,1,firearms in college/university,public and private : possession prohibited,long gun,NA,NA,NA,NA,NC1050
North Carolina,NC,37,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,"Exceptions: (c) Notwithstanding subsection (b) of this section, a county or municipality, by zoning or other ordinance, may regulate or prohibit the sale of firearms at a location only if there is a lawful, general, similar regulation or prohibition of commercial activities at that location. Nothing in this subsection shall restrict the right of a county or municipality to adopt a general zoning plan that prohibits any commercial activity within a fixed distance of a school or other educational institution except with a special use permit issued for a commercial activity found not to pose a danger to the health, safety, or general welfare of persons attending the school or educational institution within the fixed distance.

(d) No county or municipality, by zoning or other ordinance, shall regulate in any manner firearms shows with regulations more stringent than those applying to shows of other types of items.

(e) A county or municipality may regulate the transport, carrying, or possession of firearms by employees of the local unit of government in the course of their employment with that local unit of government.

(f) Nothing contained in this section prohibits municipalities or counties from application of their authority under G.S. 153A-129, 160A-189, 14-269, 14-269.2, 14-269.3, 14-269.4, 14-277.2, 14-415.11, 14-415.23, including prohibiting the possession of firearms in public-owned buildings, on the grounds or parking areas of those buildings, or in public parks or recreation areas, except nothing in this subsection shall prohibit a person from storing a firearm within a motor vehicle while the vehicle is on these grounds or areas. Nothing contained in this section prohibits municipalities or counties from exercising powers provided by law in states of emergency declared under Article 1A of Chapter 166A of the General Statutes.",NA,NC1052
North Carolina,NC,37,2024,1,background checks,sales from dealer,handgun,NA,NA,NA,NA,NC1057
North Carolina,NC,37,2024,1,background checks,permit to purchase,handgun,NA,NA,NA,NA,NC1058
North Carolina,NC,37,2024,1,background checks,private sales : point of sale,handgun,NA,NA,NA,NA,NC1059
North Carolina,NC,37,2024,1,firearm removal at scene of domestic violence,authorized,handgun and long gun,NA,NA,NA,NA,NC1060
North Carolina,NC,37,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,NC1061
North Carolina,NC,37,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,NC1063
North Carolina,NC,37,2024,1,local laws preempted by state,comprehensive - punitive,handgun and long gun,NA,NA,"Exceptions: (c) Notwithstanding subsection (b) of this section, a county or municipality, by zoning or other ordinance, may regulate or prohibit the sale of firearms at a location only if there is a lawful, general, similar regulation or prohibition of commercial activities at that location. Nothing in this subsection shall restrict the right of a county or municipality to adopt a general zoning plan that prohibits any commercial activity within a fixed distance of a school or other educational institution except with a special use permit issued for a commercial activity found not to pose a danger to the health, safety, or general welfare of persons attending the school or educational institution within the fixed distance.

(d) No county or municipality, by zoning or other ordinance, shall regulate in any manner firearms shows with regulations more stringent than those applying to shows of other types of items.

(e) A county or municipality may regulate the transport, carrying, or possession of firearms by employees of the local unit of government in the course of their employment with that local unit of government.

(f) Nothing contained in this section prohibits municipalities or counties from application of their authority under G.S. 153A-129, 160A-189, 14-269, 14-269.2, 14-269.3, 14-269.4, 14-277.2, 14-415.11, 14-415.23, including prohibiting the possession of firearms in public-owned buildings, on the grounds or parking areas of those buildings, or in public parks or recreation areas, except nothing in this subsection shall prohibit a person from storing a firearm within a motor vehicle while the vehicle is on these grounds or areas. Nothing contained in this section prohibits municipalities or counties from exercising powers provided by law in states of emergency declared under Article 1A of Chapter 166A of the General Statutes.",NA,NC1064
North Carolina,NC,37,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,NC1065
North Carolina,NC,37,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,NC1066
North Carolina,NC,37,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,NC1067
North Carolina,NC,37,2024,0,permit to purchase,required,handgun,NA,NA,NA,NA,NC1068
North Carolina,NC,37,2024,1,permit to purchase,maximum waiting period,handgun,NA,NA,NA,NA,NC1069
North Carolina,NC,37,2024,1,waiting period,Waiting Periods: De facto (permit required),handgun,NA,10,"de facto (permit required)”: The law does not require that permits are issued with a delay, but in practice they may take weeks to obtain, so we treat this as a de facto waiting period for handguns, and arbitrarily set the length of the waiting period to 10 days.",NA,NC1070
North Dakota,ND,38,2024,0,carrying a concealed weapon (ccw),prohibited,handgun,NA,NA,Unclear what year this law was first implemented.,NA,ND1003
North Dakota,ND,38,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,"Lott and Mustard (1997) characterize North Dakota as becoming ""shall issue"" in 1997, but Vernick and Hepburn (2003) use 1985, and we agree.







Lott, J. R., and D. B. Mustard, ‚”Crime, Deterrence, and Right-to-Carry Concealed Handguns,” Journal of Legal Studies, Vol. 26, No. 1, 1997, pp. 1‚“68.",NA,ND1004
North Dakota,ND,38,2024,0,castle doctrine,expanded 1,handgun and long gun,NA,NA,"In 2007, added vehicle to places where there is no duty to retreat.",NA,ND1005
North Dakota,ND,38,2024,1,minimum age,youth possession,handgun,18,NA,NA,NA,ND1008
North Dakota,ND,38,2024,1,minimum age,purchase and sale,handgun,18,NA,N.D. Cent. Code §14-10-01 defines minor as under 18.,NA,ND1010
North Dakota,ND,38,2024,1,open carry,limited,handgun,NA,NA,NA,NA,ND1013
North Dakota,ND,38,2024,1,prohibited possessor,mental health : committed to mh facility,handgun and long gun,NA,NA,"A person committed to MH facility may havethe petition that provided the basis for the diagnosis, confinement, or commitment dismissed. In addition, this limitation does not apply to a person who has not suffered from the disability for the previous three years or who has successfully petitioned for relief under section 62.1-02-01.2.",NA,ND1023
North Dakota,ND,38,2024,1,prohibited possessor,dvro : expanded,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to bar the defendant from owning, possessing, or purchasing firearms. This law includes a firearm surrender requirement.",NA,ND1024
North Dakota,ND,38,2024,1,prohibited possessor,dvro ex parte : expanded,handgun and long gun,NA,NA,"This law allows for the judge's discretion about whether to bar the defendant from owning, possessing, or purchasing firearms. This law includes a firearm surrender requirement.",NA,ND1025
North Dakota,ND,38,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,NA,NA,ND1027
North Dakota,ND,38,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,ND1033
North Dakota,ND,38,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,ND1034
North Dakota,ND,38,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,ND1039
North Dakota,ND,38,2024,0,waiting period,federal,handgun,NA,5,"In general, the waiting period applies only in states without an acceptable alternate system of conducting background checks on handgun purchasers. The interim provisions of the Brady Law became effective on February 28, 1994, and ceased to apply on November 30, 1998.",NA,ND1040
North Dakota,ND,38,2024,1,waiting period,federal,handgun,NA,NA,NA,NA,ND1041
North Dakota,ND,38,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,NA,NA,ND1045
North Dakota,ND,38,2024,1,gun trafficking,straw purchase - buyer liability,handgun and long gun,NA,NA,Prohibited posessor,NA,ND1048
North Dakota,ND,38,2024,0,castle doctrine,expanded 1,handgun and long gun,NA,NA,NA,NA,ND1050
North Dakota,ND,38,2024,1,firearm removal at scene of domestic violence,authorized,handgun and long gun,NA,NA,NA,NA,ND1051
North Dakota,ND,38,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,ND1052
North Dakota,ND,38,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,ND1054
North Dakota,ND,38,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,ND1055
